authors;publication_year;exp_route;animal_id;dose;ves_cyst;deg_cyst;total_cyst;brain_cyst
Deckers N, Kanobana K, Silva M, Gonzalez AE, Garcia HH, Gilman RH, Dorny P.;2008;proglottids;8118;1;0;0;0;
Silva ME.;2004;proglottids;5949;1;0;7;7;0
Silva ME.;2004;proglottids;5952;1;8;46;54;0
Silva ME.;2004;proglottids;5953;1;72;267;339;0
Silva ME.;2004;proglottids;5950;1;1;165;166;0
Silva ME.;2004;proglottids;5956;1;811;151;962;10
Silva ME.;2004;proglottids;5947;1;440;30;470;15
Silva ME.;2004;proglottids;3642;1;610;12;622;1
Silva ME.;2004;proglottids;5965;1;110;84;194;0
Silva ME.;2004;proglottids;3637;1;345;24;369;0
Silva ME.;2004;proglottids;3639;1;404;111;515;1
Silva ME.;2004;proglottids;7478;1;27;37;64;0
Silva ME.;2004;proglottids;7447;1;257;1380;1637;4
Silva ME.;2004;proglottids;7467;1;2876;467;3343;2
Silva ME.;2004;proglottids;7476;1;473;386;859;1
Silva ME.;2004;proglottids;7442;1;767;1018;1785;
Silva ME.;2004;proglottids;7448;1;5292;44;5336;
Silva ME.;2004;proglottids;7445;1;16;53;69;
Silva ME.;2004;proglottids;7438;1;2367;443;2810;
Silva ME.;2004;proglottids;7436;1;493;653;1146;
Silva ME.;2004;proglottids;7470;1;68;118;186;
Silva ME.;2004;proglottids;7451;1;1631;80;1711;
Silva ME.;2004;proglottids;7471;1;1754;389;2143;
Silva ME.;2004;proglottids;7430;1;739;282;1021;
Silva ME.;2004;proglottids;7465;1;82;54;136;
Silva ME.;2004;proglottids;5954;0.5;39;1;40;0
Silva ME.;2004;proglottids;5951;0.5;0;1;1;0
Silva ME.;2004;proglottids;5955;0.5;87;6;93;1
Silva ME.;2004;proglottids;5948;0.5;0;0;0;0
Silva ME.;2004;proglottids;7460;0.5;2160;13;2173;3
Silva ME.;2004;proglottids;7455;0.5;0;317;317;0
Silva ME.;2004;proglottids;7477;0.5;1;127;128;0
Silva ME.;2004;proglottids;7475;0.5;2046;17;2063;2
Silva ME.;2004;proglottids;3635;0.25;40;20;60;0
Silva ME.;2004;proglottids;3641;0.25;67;38;105;0
Silva ME.;2004;proglottids;3643;0.25;142;85;227;2
Silva ME.;2004;proglottids;3645;0.25;0;1;1;0
Silva ME.;2004;proglottids;7481;0.25;12;115;127;0
Silva ME.;2004;proglottids;7480;0.25;222;58;280;0
Silva ME.;2004;proglottids;7440;0.25;1;158;159;0
Silva ME.;2004;proglottids;7479;0.25;163;45;208;0
Silva ME.;2004;proglottids;3640;0;0;0;0;0
Silva ME.;2004;proglottids;5961;0;0;0;0;0
Silva ME.;2004;proglottids;5968;0;0;0;0;0
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC25;2500;2;26;28;0
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC22;2500;9;22;31;3
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC33;2500;8;93;101;3
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC29;2500;2;3;5;0
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC36;2500;20;1;21;2
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC40;5000;115;3;118;1
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC46;5000;56;0;56;5
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC37;5000;210;0;210;4
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC39;5000;142;0;142;3
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC30;5000;179;20;199;5
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC47;5000;117;0;117;10
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC12;10000;227;6;233;2
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC10;10000;142;0;142;6
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC7;10000;392;8;400;11
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC21;10000;163;111;274;0
Cysticercosis Working Group in Peru - Unpublished data;.;carotid;CC42;10000;49;16;65;8
de Aluja AS, Villalobos NM, Nava G, Toledo A, Martínez JJ, Plancarte A, Rodarte LF, Fragoso G, Sciutto E.;2005;eggs;.;20000;581;25;610;4
de Aluja AS, Villalobos NM, Nava G, Toledo A, Martínez JJ, Plancarte A, Rodarte LF, Fragoso G, Sciutto E.;2005;eggs;.;20000;112;4;120;4
de Aluja AS, Villalobos NM, Nava G, Toledo A, Martínez JJ, Plancarte A, Rodarte LF, Fragoso G, Sciutto E.;2005;eggs;.;20000;25;13;38;0
de Aluja AS, Villalobos NM, Nava G, Toledo A, Martínez JJ, Plancarte A, Rodarte LF, Fragoso G, Sciutto E.;2005;eggs;.;20000;244;1;251;6
de Aluja AS, Villalobos NM, Nava G, Toledo A, Martínez JJ, Plancarte A, Rodarte LF, Fragoso G, Sciutto E.;2005;eggs;.;20000;18;16;38;4
